Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions,NOC Code
Newfoundland and Labrador,Low Wage,Barry Group Inc.,"Corner Brook,  NL A2H 3E9",Labourers in fish and seafood processing,Unknown,6,90,9618
Newfoundland and Labrador,Low Wage,Blair Holdings Limited,"Corner Brook,  NL A2H 4C5",Light duty cleaners,Unknown,1,1,6731
Newfoundland and Labrador,Low Wage,Cakeyhand Dessert Factory Inc.,"Paradise,  NL A1L 1P9",Chefs,Unknown,1,1,6321
Newfoundland and Labrador,Low Wage,Dallas Mercer Consulting Inc.,"Mount Pearl,  NL A1C 5G4",Light duty cleaners,Unknown,1,1,6731
Newfoundland and Labrador,Low Wage,Fibreglass Works Ltd,"Wareham, Centreville,Trinity, NL A0G 4P0","Plastic products assemblers, finishers and inspectors",Unknown,1,1,9535
Newfoundland and Labrador,Low Wage,Five Corners Inc.,"St. John's,  NL A1C 1E3",Restaurant and food service managers,Unknown,1,1,0631
Newfoundland and Labrador,Low Wage,Good Fortune Food Industry Inc.,"St. John’S,  NL A1B 1W2","Food counter attendants, kitchen helpers and related support occupations",Unknown,3,3,6711
Newfoundland and Labrador,Low Wage,Green Seafoods Limited,"Winterton,  NL A0B 3M0",Labourers in fish and seafood processing,Unknown,1,4,9618
Newfoundland and Labrador,Low Wage,Jbp Holdings Inc.,"Mount Pearl,  NL A1N 5K8",Hairstylists and barbers,Unknown,2,7,6341
Newfoundland and Labrador,Low Wage,Ocean Choice International,"St. John's,  NL A1B 3N4",Fish and seafood plant workers,Unknown,2,90,9463
Newfoundland and Labrador,Low Wage,People'S Food Inc.,"St.John's,  NL A1B 0A2",Cooks,Unknown,1,1,6322
Newfoundland and Labrador,Low Wage,Quinlan Brothers Ltd.,"Bay De Verde,  NL A0A 1E0",Fish and seafood plant workers,Unknown,1,45,9463
Newfoundland and Labrador,Low Wage,St. Mary'S Bay Fisheries Inc.,"St. Mary's,  NL A0B 3B0",Receptionists,Unknown,1,1,1414
Newfoundland and Labrador,Low Wage,St. Mary'S Bay Fisheries Inc.,"St. Mary's,  NL A0B 3B0",Fish and seafood plant workers,Unknown,1,167,9463
Newfoundland and Labrador,Low Wage,St. Mary'S Bay Fisheries Inc.,"St. Mary's,  NL A0B 3B0","Testers and graders, food, beverage and associated products processing",Unknown,1,1,9465
Newfoundland and Labrador,Low Wage,St. Mary'S Bay Fisheries Inc.,"St. Mary's,  NL A0B 3B0",Labourers in fish and seafood processing,Unknown,1,30,9618
Newfoundland and Labrador,Low Wage,Ttsj Holdings Ltd,"Lethbridge,  NL A0C 1V0",Bakers,Unknown,1,1,6332
Newfoundland and Labrador,Primary Agriculture,Cornerstone Farm Ltd.,"Cormack,  NL A8A 2P8",General farm workers,Unknown,1,4,8431
Newfoundland and Labrador,Primary Agriculture,J & C Sod Farm Ltd.,"Bay Bulls,  NL A0A 1C0","Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,1,8252
Newfoundland and Labrador,Primary Agriculture,J & C Sod Farm Ltd.,"Bay Bulls,  NL A0A 1C0",General farm workers,Unknown,1,1,8431
Newfoundland and Labrador,Primary Agriculture,Lester'S Farm Market,"St. John's,  NL A1E 6J4",General farm workers,Unknown,2,18,8431
Newfoundland and Labrador,Primary Agriculture,Lone Pine Farm,"Bishop's Falls,  NL A0H 1C0",General farm workers,Unknown,1,4,8431
Newfoundland and Labrador,Primary Agriculture,Pinedale Farms Ltd.,"Terra Nova,  NL A0C 1L0",General farm workers,Unknown,1,3,8431
Newfoundland and Labrador,Primary Agriculture,Rolling Acres Farm,"Bishop's Falls,  NL A0H 1C0",General farm workers,Unknown,1,4,8431
Newfoundland and Labrador,Primary Agriculture,Sunrise Dairy Ltd,"Musgravetwon,  NL A0C 1Z0","Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,2,8252
Prince Edward Island,High Wage,Malpeque Bay Oyster Farms Ltd,"Ellerslie-Bideford,  PE C0B 1J0",Aquaculture and marine harvest labourers,Unknown,1,2,8613
Prince Edward Island,Low Wage,Acadian Supreme Inc.,"Wellington,  PE C0B 2E0",Fish and seafood plant workers,Unknown,1,25,9463
Prince Edward Island,Low Wage,Asia Food Stock Inc,"Summerside,  PE C1N 5P1",Retail sales supervisors,Unknown,1,2,6211
Prince Edward Island,Low Wage,Atlantic Aqua Farms Ltd,"Orwell Cove,  PE C0A 2E0",Aquaculture and marine harvest labourers,Unknown,1,25,8613
Prince Edward Island,Low Wage,Atlantic Beef Products Inc.,"Albany,  PE C0B 1A0","Industrial butchers and meat cutters, poultry preparers and related workers",Unknown,1,15,9462
Prince Edward Island,Low Wage,Bill And Stanley Oyster Company Inc.,"Orwell Cove,  PE C0A 2E0",Labourers in fish and seafood processing,Unknown,1,10,9618
Prince Edward Island,Low Wage,Charlottetown Fresh Casual Restaurants Inc.,"Charlottetown,  PE C1A 4M9",Food service supervisors,Unknown,1,2,6311
Prince Edward Island,Low Wage,Dynasty Restaurant Inc.,"Montague,  PE C0A 1R0",Cooks,Unknown,1,2,6322
Prince Edward Island,Low Wage,Five Star Shellfish Inc.,"Ellerslie,  PE C0B 1J0",Fish and seafood plant workers,Unknown,1,2,9463
Prince Edward Island,Low Wage,L&S Marketing (2006) Ltd.,"Tignish,  PE C0B 2B0",Labourers in fish and seafood processing,Unknown,1,6,9618
Prince Edward Island,Low Wage,Malpeque Bay Oyster Farms Ltd,"Ellerslie-Bideford,  PE C0B 1J0",Aquaculture and marine harvest labourers,Unknown,1,3,8613
Prince Edward Island,Low Wage,Maritime Select Lobster Inc.,"Alberton,  PE C0B 1B0",Labourers in fish and seafood processing,Unknown,1,8,9618
Prince Edward Island,Low Wage,North Lake Fisheries (2013) Inc.,"Elmira,  PE C0A 1K0",Fish and seafood plant workers,Unknown,3,120,9463
Prince Edward Island,Low Wage,Piccottcare Familia Services Inc.,"Charlottetown,  PE C1A 0E3",Cooks,Unknown,1,1,6322
Prince Edward Island,Low Wage,Princess Nails,"Charlottetown,  PE C1A 8K3","Estheticians, electrologists and related occupations",Unknown,1,1,6562
Prince Edward Island,Low Wage,Punjabi Bites Restaurant,"Charlottetown,  PE C1A 4L1",Food service supervisors,Unknown,1,1,6311
Prince Edward Island,Low Wage,Rwl Holdings,"New Annan,  PE C0B 1M0",Material handlers,Unknown,1,8,7452
Prince Edward Island,Primary Agriculture,101497 Pei Inc,"Cherry Valley,  PE C0A 2E0",General farm workers,Unknown,1,10,8431
Prince Edward Island,Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley,  PE C0B 1M0",Managers in horticulture,Unknown,1,1,0822
Prince Edward Island,Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley,  PE C0B 1M0",General farm workers,Unknown,1,1,8431
Prince Edward Island,Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley,  PE C0B 1M0",Nursery and greenhouse workers,Unknown,1,5,8432
Prince Edward Island,Primary Agriculture,Birch Farms Ltd.,"Summerside,  PE C1N 4J9",General farm workers,Unknown,2,8,8431
Prince Edward Island,Primary Agriculture,Brookfield Gardens Inc,"Brookfield,  PE C0A 1Y0",General farm workers,Unknown,1,13,8431
Prince Edward Island,Primary Agriculture,Bunny Burrow Vegetable Co. Ltd,"Kinkora,  PE C0B 1N0",General farm workers,Unknown,2,2,8431
Prince Edward Island,Primary Agriculture,Dalmeny Farms,"Montague,  PE C0A 1R0",General farm workers,Unknown,1,2,8431
Prince Edward Island,Primary Agriculture,Eastern Exporters Limited,"Souris,  PE C0A 2B0",General farm workers,Unknown,1,1,8431
Prince Edward Island,Primary Agriculture,Eastern Exporters Limited,"Souris,  PE C0A 2B0",Harvesting labourers,Unknown,1,1,8611
Prince Edward Island,Primary Agriculture,Eastern Farms Ltd,"Pownal,  PE C1B 3S5",General farm workers,Unknown,1,1,8431
Prince Edward Island,Primary Agriculture,Hilltop Produce Ltd,"Kinkora,  PE C0B 1N0",General farm workers,Unknown,1,1,8431
Prince Edward Island,Primary Agriculture,Hy-Croft Farms Inc.,"Summerside,  PE C1N 4V4",General farm workers,Unknown,1,1,8431
Prince Edward Island,Primary Agriculture,Indian River Farms,"Indian River,  PE C0B 1M0",General farm workers,Unknown,2,4,8431
Prince Edward Island,Primary Agriculture,Island Seed Farm Inc.,"Kinkora,  PE C0B 1N0",General farm workers,Unknown,1,1,8431
Prince Edward Island,Primary Agriculture,Jewell'S Of Prince Edward Island Inc,"York Rr,  PE C0A 1P0",General farm workers,Unknown,1,11,8431
Prince Edward Island,Primary Agriculture,Kyle Murray Farms,"Albany,  PE C0B 1A0",General farm workers,Sole Proprietorship,1,2,8431
Prince Edward Island,Primary Agriculture,Matos Winery Inc.,"St. Catherines,  PE C0A 1H1",General farm workers,Unknown,1,1,8431
Prince Edward Island,Primary Agriculture,Mgs Holdings & Distribution Ltd.,"Alberton,  PE C0B 1B0",General farm workers,Unknown,4,54,8431
Prince Edward Island,Primary Agriculture,Mol Farms Inc.,"Kinkora,  PE C0B 1N0",General farm workers,Unknown,2,2,8431
Prince Edward Island,Primary Agriculture,Pure Pork Genetics Ltd.,"Montague,  PE C0A 1R0",General farm workers,Unknown,1,4,8431
Prince Edward Island,Primary Agriculture,Smith Farms Ltd.,"Kinkora,  PE C0B 1N0",General farm workers,Unknown,1,2,8431
Prince Edward Island,Primary Agriculture,Urbainville Farms,"Wellington,  PE C0B 2E0",General farm workers,Unknown,1,2,8431
Prince Edward Island,Primary Agriculture,Vanco Farms Ltd.,"Mount Albion,  PE C1B 0R4",General farm workers,Unknown,4,145,8431
Prince Edward Island,Primary Agriculture,Verdant Llc,"Cardigan,  PE C0A 1G0",General farm workers,Unknown,1,7,8431
Prince Edward Island,Primary Agriculture,W.P.  Griffin Inc.,"Elmsdale,  PE C0B 1K0",General farm workers,Unknown,1,3,8431
Prince Edward Island,Primary Agriculture,Weeksdale Holstein Inc,"Breadalbane,  PE C0A 1E0",General farm workers,Unknown,1,2,8431
Nova Scotia,Global Talent Stream,Redspace Inc.,"Bedford,  NS B4A 3Y4",Computer programmers and interactive media developers,Corporation,1,1,2174
Nova Scotia,High Wage,3059308 Nova Scotia Ltd. O/A Hi Dartmouth,"Dartmouth,  NS B2Y 1N3","Accommodation, travel, tourism and related services supervisors",Unknown,1,1,6313
Nova Scotia,High Wage,3284316 Nova Scotia Limited,"Boularderie East,  NS B1X 1J6","Accommodation, travel, tourism and related services supervisors",Unknown,1,1,6313
Nova Scotia,High Wage,3289828 Ns Ltd,"Sackville,  NS B4C 2N1",Motor vehicle body repairers,Unknown,1,1,7322
Nova Scotia,High Wage,4325445 Nova Scotia Limited,"New Minas,  NS B4N 0E4",Restaurant and food service managers,Unknown,1,2,0631
Nova Scotia,High Wage,Anytime Freight Service Inc.,"Truro,  NS B2N 1G3",Transport truck drivers,Unknown,1,3,7511
Nova Scotia,High Wage,Boomeralert Inc.,"Porters Lake,  NS B3E 1L8",Administrative assistants,Unknown,1,1,1241
Nova Scotia,High Wage,Cabot Links,"Inverness,  NS B0E 1N0","Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Unknown,1,1,8255
Nova Scotia,High Wage,Cambridge Financial Corporation Ltd,"Halifax,  NS B3N 2T1",Accounting technicians and bookkeepers,Unknown,1,1,1311
Nova Scotia,High Wage,Collaborate It Solutions Inc,"Halifax,  NS B3J 3N2",Computer programmers and interactive media developers,Unknown,1,1,2174
Nova Scotia,High Wage,Dexter Construction Company Ltd.,"Bedford,  NS B4A 3Z2",Heavy equipment operators (except crane),Unknown,1,10,7521
Nova Scotia,High Wage,Dmflix Ltd.,"Dartmouth,  NS B2W 1B9",Retail sales supervisors,Unknown,1,2,6211
Nova Scotia,High Wage,Expert Crack & Concrete Repairs Limited,"Dartmouth,  NS B2V 1Z1",Concrete finishers,Unknown,1,3,7282
Nova Scotia,High Wage,Fantasy Beauty Studio Inc,"Halifax,  NS B3H 2P6",Administrative assistants,Unknown,1,1,1241
Nova Scotia,High Wage,Five Star Metals Inc.,"Upper Sackville,  NS B4E 3C6",Construction trades helpers and labourers,Unknown,1,3,7611
Nova Scotia,High Wage,Grind Contracting Ltd,"East Lawerencetown,  NS B2Z 1P1",Roofers and shinglers,Unknown,1,1,7291
Nova Scotia,High Wage,Lala Ji The Barber Limited,"Halifax,  NS B3K 2K9",Accounting technicians and bookkeepers,Unknown,1,1,1311
Nova Scotia,High Wage,Lala Ji The Barber Limited,"Halifax,  NS B3K 2K9",Hairstylists and barbers,Unknown,1,2,6341
Nova Scotia,High Wage,M.P Group Of Companies Inc.,"Eastern Passage,  NS B3G 1P4",Administrative officers,Unknown,1,1,1221
Nova Scotia,High Wage,M.P Group Of Companies Inc.,"Eastern Passage,  NS B3G 1P4",Dispatchers,Unknown,1,1,1525
Nova Scotia,High Wage,Mélange Medical Services Incorporated,"Dartmouth,  NS B2W 0M6",Specialist physicians,Unknown,1,1,3111
Nova Scotia,High Wage,Redspace Inc.,"Bedford,  NS B4A 3Y4",Computer programmers and interactive media developers,Corporation,1,1,2174
Nova Scotia,High Wage,Rise East Investments Limited,"Dartmouth,  NS B2W 3E6","Professional occupations in advertising, marketing and public relations",Unknown,1,1,1123
Nova Scotia,High Wage,Saint Mary'S University,"Halifax,  NS B3H 3C3",University professors and lecturers,Unknown,1,1,4011
Nova Scotia,High Wage,Taylor Ford Amherst Ltd.,"Amherst,  NS B4H 4R7","Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2,7321
Nova Scotia,High Wage,Tidal Coast Construction Limited,"Bedford,  NS B3M 2L4",Carpenters,Unknown,1,1,7271
Nova Scotia,High Wage,Université Sainte-Anne,"Pointe-De-L'Église,  NS B0W 1M0",University professors and lecturers,Unknown,1,1,4011
Nova Scotia,Low Wage,12914158 Canada,"Dartmouth,  NS B3B 1E5",Transport truck drivers,Unknown,1,1,7511
Nova Scotia,Low Wage,3026236 Nova Scotia Ltd,"Halifax,  NS B3K 4C4",Light duty cleaners,Unknown,1,1,6731
Nova Scotia,Low Wage,3085496 Nova Scotia Limited,"Halifax,  NS B3K 3V2",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,3225780 Nova Scotia Limited,"Dartmouth,  NS B2V 1E6",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,3231974 Nova Scotia Limited,"Eastern Passage,  NS B3G 1M4",Fish and seafood plant workers,Unknown,1,4,9463
Nova Scotia,Low Wage,3255915 Ns Ltd,"Windsor,  NS B0N 2T0",Cooks,Unknown,2,7,6322
Nova Scotia,Low Wage,3274876 Nova Scotia Ltd,"Clarks Harbour,  NS B0W 1P0",Fish and seafood plant workers,Unknown,1,30,9463
Nova Scotia,Low Wage,3279061 Nova Scotia Limited,"Halifax,  NS B3J 1E5","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,6711
Nova Scotia,Low Wage,3280608 Nova Scotia Limited,"Bedford,  NS B4B 0H1","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,6711
Nova Scotia,Low Wage,3317019 Nova Scotia Limited,"Bridgewater,  NS B4V 3T2",Food service supervisors,Unknown,1,1,6311
Nova Scotia,Low Wage,3317552 Nova Scotia Limited,"Beaver Bank,  NS B4G 1E5",Retail salespersons,Unknown,1,1,6421
Nova Scotia,Low Wage,3326240 Ns Ltd,"Canning,  NS B0P 1H0",Retail sales supervisors,Unknown,1,1,6211
Nova Scotia,Low Wage,3339910 Nova Scotia Limited,"Halifax,  NS B3N 2R8",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,3339960 Nova Scotia Limited,"Dartmouth,  NS B2Y 4B1",Food service supervisors,Unknown,1,1,6311
Nova Scotia,Low Wage,3343574 Nova Scotia Limited,"Halifax,  NS B3K 4C1",Food service supervisors,Unknown,1,1,6311
Nova Scotia,Low Wage,3343574 Nova Scotia Limited,"Halifax,  NS B3K 4C1",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,4343432 Nova Scotia Limited,"Amherst,  NS B4H 2V5",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,4348577 Nova Scotia Limited,"Dartmouth,  NS B2Y 1K8","Food counter attendants, kitchen helpers and related support occupations",Unknown,2,2,6711
Nova Scotia,Low Wage,4361757 Nova Scotia Limited,"Amherst,  NS B4H 2V7",Cashiers,Unknown,1,1,6611
Nova Scotia,Low Wage,4393017 Nova Scotia Limited,"Lower Sackvill,  NS B4C 2R8","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,6711
Nova Scotia,Low Wage,4445465 Nova Scotia Ltd,"Greenwood,  NS B0P 1N0",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,4507939 Nova Scotia Limited,"Currys Corner,  NS B0N 2T0",Cashiers,Unknown,1,2,6611
Nova Scotia,Low Wage,4510121 Nova Scotia Limited,"Greenwood,  NS B0P 1N0",Cooks,Unknown,1,2,6322
Nova Scotia,Low Wage,Adcor Marketing Limited,"Yarmouth,  NS B5A 2T6",Food service supervisors,Unknown,1,1,6311
Nova Scotia,Low Wage,Beaver Bank Station,"Beaver Bank,  NS B4G 0A7",Food and beverage servers,Unknown,1,1,6513
Nova Scotia,Low Wage,Beaver Bank Station,"Beaver Bank,  NS B4G 0A7","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2,6711
Nova Scotia,Low Wage,Bmc Seafoods Limited,"Meteghan,  NS B0W 2J0",Labourers in fish and seafood processing,Unknown,1,10,9618
Nova Scotia,Low Wage,Bridgewater Retirement Centre Inc.,"Bridgewater,  NS B4V 2T3",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,Brothers Meat Ltd,"Halifax,  NS B3K 4C7","Labourers in food, beverage and associated products processing",Unknown,1,2,9617
Nova Scotia,Low Wage,Buta Ramen Inc.,"Halifax,  NS B3J 1B3",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,Can - Evro Inc.,"Halifax,  NS B3J 2K4",Cooks,Unknown,1,2,6322
Nova Scotia,Low Wage,Clark'S Harbour Seafood Limited,"Clarks Harbour,  NS B0W 1P0",Labourers in fish and seafood processing,Unknown,1,60,9618
Nova Scotia,Low Wage,Dakota Holdings,"Coldbrook,  NS B4R 1A2","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2,6711
Nova Scotia,Low Wage,Deep Cove Aqua Farms Limited,"Blandford,  NS B0J 1T0",Fish and seafood plant workers,Unknown,1,12,9463
Nova Scotia,Low Wage,Duncan'S Lounge Ltd,"Amherst,  NS B4H 1X4",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,East Foodies Chinese Restaurant,"Lakeside,  NS B3T 1B3",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,Fox Harb'R Development,"Fox Harbour,  NS B0K 1Y0",Cooks,Unknown,1,4,6322
Nova Scotia,Low Wage,Fox Harb'R Development,"Fox Harbour,  NS B0K 1Y0",Food and beverage servers,Unknown,1,3,6513
Nova Scotia,Low Wage,Fox Harb'R Development,"Fox Harbour,  NS B0K 1Y0","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,4,6711
Nova Scotia,Low Wage,Fox Harb'R Development,"Fox Harbour,  NS B0K 1Y0",Light duty cleaners,Unknown,1,6,6731
Nova Scotia,Low Wage,Fox Harb'R Development,"Fox Harbour,  NS B0K 1Y0",Landscaping and grounds maintenance labourers,Unknown,1,6,8612
Nova Scotia,Low Wage,Good Air Ventilation Systems Inc,"Halifax,  NS B3N 1K7",Labourers in metal fabrication,Unknown,1,3,9612
Nova Scotia,Low Wage,Harvest Bayers Lake Drp Inc.,"Halifax,  NS B3S 1C7",Food service supervisors,Unknown,1,1,6311
Nova Scotia,Low Wage,Hop Sing Restaurant(1987) Limited,"Halifax,  NS B3R 1V4","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,6711
Nova Scotia,Low Wage,J.M.P Sayles Holdings Inc.,"Windsor,  NS B0N 2T0",Food service supervisors,Unknown,2,2,6311
Nova Scotia,Low Wage,J.M.P Sayles Holdings Inc.,"Windsor,  NS B0N 2T0","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,6,6711
Nova Scotia,Low Wage,Jcubed Ltd,"Lunenburg,  NS B0J 2C0",Restaurant and food service managers,Unknown,1,1,0631
Nova Scotia,Low Wage,Je Bembridge Enterprise Ltd,"Amherst,  NS B4H 3E4",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,John Ross & Sons Ltd.,"Halifax,  NS B3S 1B3",Material handlers,Unknown,1,16,7452
Nova Scotia,Low Wage,K-Beauty Salon Inc,"Halifax,  NS B3L 1A4",Hairstylists and barbers,Unknown,1,1,6341
Nova Scotia,Low Wage,Kianman Hospitality Inc.,"Bridgewater,  NS B4V 2V7",Cleaning supervisors,Unknown,1,1,6315
Nova Scotia,Low Wage,Let’S Ko Restaurant Inc,"Bedford,  NS B4A 0C1",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,Louisbourg Seafoods Limited,"Louisbourg,  NS B1C 1B5",Fish and seafood plant workers,Unknown,1,20,9463
Nova Scotia,Low Wage,M.J.N.J Investments Ltd,"Lunenburg,  NS B0J 2C0",Food service supervisors,Unknown,1,1,6311
Nova Scotia,Low Wage,M.P Group Of Companies Inc.,"Eastern Passage,  NS B3G 1P4","Couriers, messengers and door-to-door distributors",Unknown,1,5,1513
Nova Scotia,Low Wage,Maruti Bridgewater Ns Inc,"Bridgewater,  NS B4V 3A2",Cashiers,Unknown,1,2,6611
Nova Scotia,Low Wage,Maruti Greenwood Ns Inc,"Greenwood,  NS B0P 1N0",Cooks,Unknown,1,2,6322
Nova Scotia,Low Wage,Maruti Greenwood Ns Inc,"Greenwood,  NS B0P 1N0","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2,6711
Nova Scotia,Low Wage,Meldamar Inc,"Halifax,  NS B3M 3S6",Light duty cleaners,Unknown,1,1,6731
Nova Scotia,Low Wage,Naru Japanese Restaurant (Ns) Ltd.,"Sydney,  NS B1P 1G8",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,New Indian Bazaar Inc,"Halifax,  NS B3S 1B3","Store shelf stockers, clerks and order fillers",Unknown,1,1,6622
Nova Scotia,Low Wage,North Nova Seafoods,"Pictou,  NS B0K 1H0",Fish and seafood plant workers,Unknown,2,92,9463
Nova Scotia,Low Wage,Ns Kt Foods Inc.,"Halifax,  NS B3L 2H8","Food counter attendants, kitchen helpers and related support occupations",Unknown,2,2,6711
Nova Scotia,Low Wage,Queen And Cable Limited Partnership,"Halifax,  NS B3J 0J2",Cooks,Unknown,1,5,6322
Nova Scotia,Low Wage,R&G Macdonald Enterprises Ltd.,"Port Hawkesbury,  NS B9A 2M4",Food service supervisors,Unknown,2,4,6311
Nova Scotia,Low Wage,Right Source Group Limited,"Bedford,  NS B4B 1J7",Fish and seafood plant workers,Unknown,1,3,9463
Nova Scotia,Low Wage,Sea Crest Fisheries Ltd,"Comeauville,  NS B0W 2Z0",Fish and seafood plant workers,Unknown,1,112,9463
Nova Scotia,Low Wage,Sea Crest Fisheries Ltd,"Comeauville,  NS B0W 2Z0",Labourers in fish and seafood processing,Unknown,1,13,9618
Nova Scotia,Low Wage,Seemaaria & Co. Inc.,"Dartmouth,  NS B2W 6A4",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,Sherlock Clothing Limited,"Halifax,  NS B3S 0G4",Material handlers,Unknown,1,3,7452
Nova Scotia,Low Wage,Shreeji Villa Inc.,"Halifax,  NS B3P 0H4",Cooks,Unknown,1,1,6322
Nova Scotia,Low Wage,Shreeji Villa Inc.,"Halifax,  NS B3P 0H4","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,6711
Nova Scotia,Low Wage,Sobeys Capital Incorporée,"Stellarton,  NS B0K 1S0",Retail sales supervisors,Unknown,1,1,6211
Nova Scotia,Low Wage,The Prince George Hotel,"Halfiax,  NS B3J 3N9",Light duty cleaners,Unknown,1,1,6731
Nova Scotia,Low Wage,Turkuaz Restaurant Limited,"Halifax,  NS B4A 0J1",Cooks,Unknown,1,3,6322
Nova Scotia,Low Wage,Unnati Inc.,"Halifax,  NS B4A 1C8",Cooks,Unknown,1,2,6322
Nova Scotia,Low Wage,Unnati Inc.,"Halifax,  NS B4A 1C8","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,6711
Nova Scotia,Low Wage,Wow! Food Systems Incorporated,"Truro,  NS B2N 6M5",Cooks,Unknown,1,1,6322
Nova Scotia,Primary Agriculture,Barteaux Farms Ltd,"Moschelle,  NS B0S 1A0",General farm workers,Corporation,1,30,8431
Nova Scotia,Primary Agriculture,Birchleigh Farms Ltd.,"Berwick,  NS B0P 1E0",General farm workers,Unknown,1,5,8431
Nova Scotia,Primary Agriculture,Black Avon Farms Ltd,"Antigonish,  NS B0H 1R0",General farm workers,Unknown,1,3,8431
Nova Scotia,Primary Agriculture,Blue Ridge Farm,"Grafton,  NS B0P 1V0",General farm workers,Unknown,1,6,8431
Nova Scotia,Primary Agriculture,Bragg Lumber Company,"Collingwood,  NS B0M 1P0",General farm workers,Unknown,4,19,8431
Nova Scotia,Primary Agriculture,Cap Farms Inc,"Grafton,  NS B0P 1V0",General farm workers,Unknown,1,5,8431
Nova Scotia,Primary Agriculture,Charles Keddy Farms Limited,"Lakeville,  NS B4N 3V7",General farm workers,Unknown,1,18,8431
Nova Scotia,Primary Agriculture,Delong Farm Products Limited,"New Germany,  NS B0R 1E0",Nursery and greenhouse workers,Unknown,1,60,8432
Nova Scotia,Primary Agriculture,Elite Balsam Products Incorporated,"St. Andrew'S,  NS B0H 1X0",Nursery and greenhouse workers,Unknown,1,6,8432
Nova Scotia,Primary Agriculture,Elmridge Farm Ltd,"Rr2 Centreville,  NS B0P 1J0",General farm workers,Unknown,2,4,8431
